,entity,entity_type,sentiment,count
8,1987,DATE,0.0,1
10,2008,DATE,0.0,1
249,hometown,LOCATION,0.0,1
251,instructor,PERSON,0.0,1
253,many,PERSON,0.0,1
103,KCPR Alumni Group,ORGANIZATION,0.0,1
97,June 4th,DATE,0.0,1
96,"July 29, 1968",DATE,0.0,1
11,2014,DATE,0.0,1
15,Al Lindley,PERSON,0.0,1
18,Alumni,PERSON,0.0,1
311,transmitter facilities,LOCATION,0.0,1
113,Kung-Fu,LOCATION,0.0,1
83,ITA,ORGANIZATION,-0.008333334078391394,1
7,1973,DATE,-0.02499999850988388,4
181,Visual Electronics,ORGANIZATION,-0.033333336313565574,1
224,couple,PERSON,-0.033333336313565574,1
312,transmitter site,LOCATION,-0.03666666721304258,2
213,carrier,PERSON,-0.05000000074505806,1
67,Federal Communications Commission,ORGANIZATION,-0.05000000074505806,1
93,John Grandy,PERSON,-0.05000000074505806,1
112,Kennedy Library,LOCATION,-0.05000000074505806,2
282,solder,PERSON,-0.05000000074505806,1
57,Ed Zuchelli,PERSON,-0.05000000322858492,1
314,two,PERSON,-0.05000000447034836,1
277,road,LOCATION,-0.05454545400359414,1
61,Eric Dausman,PERSON,-0.054729730427802145,4
111,Kennedy,PERSON,-0.06000000089406967,1
127,Monterey Street,LOCATION,-0.06666667014360428,1
243,friends,PERSON,-0.0666666713853677,4
6,1972,DATE,-0.07500000111758709,2
298,studio,ORGANIZATION,-0.07500000111758709,2
139,President,PERSON,-0.07500000298023224,1
47,Day,PERSON,-0.08000000417232514,1
299,studios,LOCATION,-0.08500000014901161,5
92,Jim Stueck,PERSON,-0.08560000091791153,2
290,station,ORGANIZATION,-0.08844697153703733,8
46,Davidson,PERSON,-0.09000000432133674,1
257,nobody,PERSON,-0.09999999403953552,1
262,parts,LOCATION,-0.09999999962747097,2
31,Cal Poly,ORGANIZATION,-0.10000000107619496,3
196,area,LOCATION,-0.10000000149011612,1
246,hall,LOCATION,-0.10000000149011612,1
316,wife,PERSON,-0.10000000149011612,1
230,each other,PERSON,-0.10000000149011612,2
268,print shop,LOCATION,-0.10000000149011612,1
206,callers,PERSON,-0.10000000149011612,1
260,one,PERSON,-0.10000000149011612,1
309,transmitter building,LOCATION,-0.10000000149011612,1
292,stations,ORGANIZATION,-0.10000000149011612,1
241,floor,LOCATION,-0.10000000149011612,1
212,carrier,ORGANIZATION,-0.10000000149011612,1
218,classmates,PERSON,-0.10000000149011612,1
247,hallway,LOCATION,-0.10000000149011612,1
317,world,LOCATION,-0.10000000149011612,1
86,Jampro JA-1BE,ORGANIZATION,-0.10000000149011612,1
156,Sacramento,LOCATION,-0.10000000149011612,1
26,Beach Boys,ORGANIZATION,-0.10000000149011612,1
168,Stanford,ORGANIZATION,-0.10000000149011612,1
30,"Blood, Sweat & Tears",ORGANIZATION,-0.10000000149011612,1
36,Class,PERSON,-0.10000000149011612,1
153,Room 201,LOCATION,-0.10000000149011612,1
20,Andy Williams,PERSON,-0.10000000149011612,1
37,Class D,ORGANIZATION,-0.10000000149011612,1
177,The Who,ORGANIZATION,-0.10000000149011612,1
45,DJs,PERSON,-0.10000000149011612,1
50,Deborah,PERSON,-0.10000000149011612,1
149,Rick Williams,PERSON,-0.10000000149011612,1
147,Rick,PERSON,-0.10000000149011612,1
53,Duane Hill,PERSON,-0.10000000149011612,1
17,Altmar,LOCATION,-0.10000000149011612,1
133,Mustang Daily,ORGANIZATION,-0.10000000149011612,1
110,Kathy,PERSON,-0.10000000149011612,1
77,Graphics Arts,ORGANIZATION,-0.10000000149011612,1
85,Jampro Antenna Company,ORGANIZATION,-0.10000000149011612,1
155,Royal,PERSON,-0.10000000149011612,1
94,Jon Jaeger,PERSON,-0.10000000397364299,1
80,Healey,PERSON,-0.10000000447034836,1
82,Homer Odem,PERSON,-0.10243902591670431,1
106,KSLY,ORGANIZATION,-0.1111111119389534,3
4,1970,DATE,-0.11111111442248027,3
108,KVEC,ORGANIZATION,-0.11388888996508385,3
263,people,PERSON,-0.11481481597379402,3
40,D,PERSON,-0.12121212301832257,1
281,shop,LOCATION,-0.12499999441206455,1
207,campus,LOCATION,-0.1416666718820731,4
289,station,LOCATION,-0.14912568620238148,5
211,campus radio station,ORGANIZATION,-0.14999999850988388,1
114,Len Filomeo,PERSON,-0.15000000223517418,2
141,RCA,ORGANIZATION,-0.15000000223517418,1
16,Alan Holmes,PERSON,-0.15000000596046448,2
308,transmission line,LOCATION,-0.15714285948446818,1
2,1968,DATE,-0.16000000536441802,1
23,Audio Visual Department,ORGANIZATION,-0.16000000536441802,1
